
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039293                       # Number of seconds simulated (Second)
simTicks                                  39292973500                       # Number of ticks simulated (Tick)
finalTick                                 39292973500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    190.11                       # Real time elapsed on the host (Second)
hostTickRate                                206682526                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     707312                       # Number of bytes of host memory used (Byte)
simInsts                                    100000004                       # Number of instructions simulated (Count)
simOps                                      100004120                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   526004                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     526025                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         78585949                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.785859                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.272492                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103349588                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   908297                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102640732                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19511                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4253704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2793917                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               17006                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78524537                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.307117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.713996                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  35283752     44.93%     44.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  19126786     24.36%     69.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8367438     10.66%     79.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6140048      7.82%     87.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4228826      5.39%     93.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2630332      3.35%     96.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1523619      1.94%     98.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    639640      0.81%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    584096      0.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78524537                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  391397     21.62%     21.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4055      0.22%     21.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     729      0.04%     21.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     21.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     21.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     21.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                   68      0.00%     21.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     21.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     21.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                32729      1.81%     23.70% # attempts to use FU when none available (Count)
