
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026908                       # Number of seconds simulated (Second)
simTicks                                  26907616000                       # Number of ticks simulated (Tick)
finalTick                                 26907616000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    451.52                       # Real time elapsed on the host (Second)
hostTickRate                                 59593339                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679980                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      110421005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221474                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     244554                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         53815233                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.538152                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.858210                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       139258012                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    22190                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      121284098                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  37901                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             28859137                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          96879296                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            53688103                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.259050                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.909771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10956997     20.41%     20.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11435302     21.30%     41.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10728031     19.98%     61.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7239380     13.48%     75.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5978780     11.14%     86.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3252890      6.06%     92.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2652972      4.94%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    972816      1.81%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    470935      0.88%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              53688103                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  729486     55.96%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     55.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     55.96% # attempts to use FU when none available (Count)
