
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035937                       # Number of seconds simulated (Second)
simTicks                                  35936585500                       # Number of ticks simulated (Tick)
finalTick                                 35936585500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    497.45                       # Real time elapsed on the host (Second)
hostTickRate                                 72242305                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681900                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      110421005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   201027                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221976                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71873172                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.718732                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.391340                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       173221091                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    22199                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      137165623                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 159266                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             62822219                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         186555358                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 112                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71713282                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.912695                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.901038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  22494410     31.37%     31.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13814246     19.26%     50.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  12302832     17.16%     67.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8030344     11.20%     78.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6737466      9.40%     88.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3860619      5.38%     93.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3196411      4.46%     98.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    992376      1.38%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    284578      0.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71713282                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  654318     48.25%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     48.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     48.25% # attempts to use FU when none available (Count)
