
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026912                       # Number of seconds simulated (Second)
simTicks                                  26911759500                       # Number of ticks simulated (Tick)
finalTick                                 26911759500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    371.51                       # Real time elapsed on the host (Second)
hostTickRate                                 72438400                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681900                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      110421005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   269170                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     297220                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         53823520                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.538235                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.857924                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       139282748                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    22192                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      121284883                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  38711                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             28883875                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          96981295                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 105                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            53686500                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.259132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.910218                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10958177     20.41%     20.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11440607     21.31%     41.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10725560     19.98%     61.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7223732     13.46%     75.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5987290     11.15%     86.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3251224      6.06%     92.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2654019      4.94%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    974562      1.82%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    471329      0.88%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              53686500                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  727175     55.98%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     55.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     55.98% # attempts to use FU when none available (Count)
