
---------- Begin Simulation Statistics ----------
simSeconds                                   0.257365                       # Number of seconds simulated (Second)
simTicks                                 257364926500                       # Number of ticks simulated (Tick)
finalTick                                257364926500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    553.76                       # Real time elapsed on the host (Second)
hostTickRate                                464760110                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     751132                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      185152402                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   180584                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     334356                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        514729854                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.147299                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.194277                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       188205363                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      113                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      188177759                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    287                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3053055                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4392776                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  26                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           514675786                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.365624                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.142819                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 461763789     89.72%     89.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6146646      1.19%     90.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4934235      0.96%     91.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1023453      0.20%     92.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  35042705      6.81%     98.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5678777      1.10%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     75968      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9933      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       280      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             514675786                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     146      0.31%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.31% # attempts to use FU when none available (Count)
