
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039509                       # Number of seconds simulated (Second)
simTicks                                  39508614500                       # Number of ticks simulated (Tick)
finalTick                                 39508614500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    313.00                       # Real time elapsed on the host (Second)
hostTickRate                                126225021                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     660504                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100004116                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   319487                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     319500                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         79017231                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.790172                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.265547                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122485422                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   224157                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      114370140                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96662                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             22705379                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14838573                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13531                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            78959785                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.448461                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.632827                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  28480898     36.07%     36.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22354002     28.31%     64.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10542064     13.35%     77.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7690115      9.74%     87.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4958552      6.28%     93.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2724787      3.45%     97.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1329512      1.68%     98.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    612390      0.78%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    267465      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              78959785                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  329458     12.96%     12.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4055      0.16%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      29      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 4217      0.17%     13.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            336907     13.25%     26.54% # attempts to use FU when none available (Count)
