
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035099                       # Number of seconds simulated (Second)
simTicks                                  35099430000                       # Number of ticks simulated (Tick)
finalTick                                 35099430000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    289.15                       # Real time elapsed on the host (Second)
hostTickRate                                121389835                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     645012                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100004116                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   345845                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     345859                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         70198862                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.701989                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.424525                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       109835763                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   216334                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      104998588                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  28520                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10047897                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8697727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5708                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            70142643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.496929                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.634125                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23303574     33.22%     33.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21286968     30.35%     63.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9511916     13.56%     77.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7104819     10.13%     87.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4599273      6.56%     93.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2232450      3.18%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1199256      1.71%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    616643      0.88%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    287744      0.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              70142643                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  304855     13.17%     13.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4055      0.18%     13.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2845      0.12%     13.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2982      0.13%     13.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            310938     13.44%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    51      0.00%     27.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               253245     10.94%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     37.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     37.98% # attempts to use FU when none available (Count)
