
---------- Begin Simulation Statistics ----------
simSeconds                                   0.039541                       # Number of seconds simulated (Second)
simTicks                                  39541100500                       # Number of ticks simulated (Tick)
finalTick                                 39541100500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    330.52                       # Real time elapsed on the host (Second)
hostTickRate                                119634672                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     645012                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100004116                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   302558                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     302570                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         79082203                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.790822                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.264507                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122490279                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   224198                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      114375659                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96760                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             22710277                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14839841                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13572                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            79025499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.447326                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.632059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  28513413     36.08%     36.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  22382370     28.32%     64.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10560761     13.36%     77.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7691922      9.73%     87.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4949716      6.26%     93.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2716985      3.44%     97.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1327618      1.68%     98.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    615208      0.78%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    267506      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              79025499                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  329505     12.98%     12.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4055      0.16%     13.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      29      0.00%     13.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 4171      0.16%     13.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            336893     13.27%     26.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    33      0.00%     26.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               293286     11.55%     38.13% # attempts to use FU when none available (Count)
