
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035445                       # Number of seconds simulated (Second)
simTicks                                  35444949000                       # Number of ticks simulated (Tick)
finalTick                                 35444949000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    427.30                       # Real time elapsed on the host (Second)
hostTickRate                                 82951914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     645012                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      100004116                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   234030                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     234040                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         70889900                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.708899                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.410638                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       104489311                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   216436                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102672798                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  53327                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4701547                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3572543                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5810                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            70725810                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.451702                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.607900                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24231095     34.26%     34.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21478853     30.37%     64.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9501059     13.43%     78.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7071437     10.00%     88.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4328909      6.12%     94.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2081038      2.94%     97.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1253679      1.77%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    503304      0.71%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    276436      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              70725810                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  264223     12.14%     12.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4055      0.19%     12.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1351      0.06%     12.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2704      0.12%     12.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            311111     14.30%     26.81% # attempts to use FU when none available (Count)
