
---------- Begin Simulation Statistics ----------
simSeconds                                   0.239704                       # Number of seconds simulated (Second)
simTicks                                 239703510000                       # Number of ticks simulated (Tick)
finalTick                                239703510000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    452.08                       # Real time elapsed on the host (Second)
hostTickRate                                530227404                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     722576                       # Number of bytes of host memory used (Byte)
simInsts                                    100000004                       # Number of instructions simulated (Count)
simOps                                      100000126                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   221201                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221202                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        479407023                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.794070                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.208591                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       104526176                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      776                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      103421608                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9233                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4526764                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3886278                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 193                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           479245840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.215801                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.807749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 435207287     90.81%     90.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14586966      3.04%     93.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16741003      3.49%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1574395      0.33%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7113850      1.48%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2812333      0.59%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    615367      0.13%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    336928      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    257711      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             479245840                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  177534      4.29%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.29% # attempts to use FU when none available (Count)
