
---------- Begin Simulation Statistics ----------
simSeconds                                   0.240535                       # Number of seconds simulated (Second)
simTicks                                 240534911500                       # Number of ticks simulated (Tick)
finalTick                                240534911500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    461.46                       # Real time elapsed on the host (Second)
hostTickRate                                521250413                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     715544                       # Number of bytes of host memory used (Byte)
simInsts                                    100000004                       # Number of instructions simulated (Count)
simOps                                      100000126                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   216705                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     216705                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        481069831                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.810698                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.207870                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       104205637                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      683                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      103230084                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5929                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4206132                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3695221                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 100                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           480894181                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.214663                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.805136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 436889265     90.85%     90.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14590872      3.03%     93.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16737866      3.48%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1570047      0.33%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7112954      1.48%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2800075      0.58%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    605472      0.13%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    332724      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    254906      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             480894181                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  174919      4.24%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       2      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.24% # attempts to use FU when none available (Count)
